GGAP,TFP
2.5,-0.010538989
2.52,-0.002162461
2.54,-0.009118081
2.56,-0.0061725
2.58,0.010971017
2.6,0.007764444
2.6,0.004357307
2.6,0.004142062
2.6,0.008012065
2.6,0.011071655
2.6,0.010037619
2.6,0.003337746
2.6,0.006903092
2.6,-0.001394401
2.6,0.002402423
2.6,0.009134916
2.58,0.021794522
2.56,0.018825054
2.54,0.020591661
2.52,0.021522813
2.5,0.011346775
2.46,0.004309818
2.42,0.003656892
2.38,0.006699708
2.34,0.004626344
2.3,0.012864987
2.26,0.019178078
2.22,0.024388636
2.18,0.014442091
2.14,0.01474437
2.1,0.014682507
2.06,0.008508625
2.02,0.006978059
1.98,0.012795689
1.94,0.01534122
1.9,0.018090697
